name,address,website,phone_number,reviews_count,reviews_average,store_shopping,in_store_pickup,store_delivery,place_type,opens_at,introduction
GST office bio-metric,"Commercial Tax and Registrar's Office, Ground Floor, Integrated Building, Fanepet, Nandanam, Chennai, Tamil Nadu 600035",,,,,No,No,No,Government office, Opens 10am Mon,None Found
Kanakkupillai,"No.13/22, 1st & 2nd Floor, W Karikalan St, Adambakkam, Chennai, Tamil Nadu 600088",kanakkupillai.com,073053 45345,3066,4.8,No,No,No,Accounting firm, Closes 9pm,None Found
Commercial Tax Office Annex,"CT - ANNEX BUILDING, 1, Greams Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600006",ctd.tn.gov.in,,42,4.0,No,No,No,Government office, Opens 10am Mon,None Found
Purasawalkam GST Division,"36M3+V3G, L Block, Kurinji Colony, Anna Nagar, Chennai, Tamil Nadu 600040",,044 2614 2711,,,No,No,No,Central Government Office,,None Found
Office of the Assistant commissioner of GST and Central Excise,"35QH+57X, Mogappair, Chennai, Tamil Nadu 600037",,,1,5.0,No,No,No,Government office,,None Found
GST Efiling & Consultancy Services LLP,"No. 9/3, Raja complex, 3rd Floor, VK Iyer Road, Mandaveli, Raja Annamalai Puram, Chennai, Tamil Nadu 600028",gstefilingca.com,096001 92192,4,5.0,No,No,No,Tax consultant, Opens 9am Sat,None Found
GST Central Excise Divisions Ambattur Ponneri and Gummidipoondi,"A-1, R-40, 100 Feet Road, Thillaiyadi Valliammai Nagar, Thirumangalam, Mogappair, Chennai, Tamil Nadu 600050",,,14,4.5,No,No,No,Tax department, Opens 9:30am Mon,None Found
CHENNAI GST AND LEGAL CONSULTANCY PRIVATE LIMITED,"30/93, Greenways Rd, MRC Nagar, Raja Annamalai Puram, Chennai, Tamil Nadu 600028",,,1,4.0,No,No,No,Lawyer, Closes 9pm,None Found
Dr. Ajitesh Radhakrishnan I.R.S,"Large Taxpayer Unit (LTU), Department of Revenue, Ministry of Finance,, Government of India, No.1775, Jawaharlal Nehru Inner Ring Road,, Annanagar Western Extension, Chennai, Tamil Nadu 600101",,044 2615 5275,5,5.0,No,No,No,Government office, Opens 9am Sat,None Found
ZoneTax India,"No 33, 17, 1st Cross St, Kamaraj Colony, Kodambakkam, Chennai, Tamil Nadu 600024",zonetaxindia.com,099620 05820,90,5.0,No,No,No,Corporate office, 8pm ,None Found
"CGST Vadapalani, Valasaravakkam, Porur Divisions; Chennai South Commissionerate, Chennai CGST Zone","GROUND FLOOR, LAND MARK, Newry Sonex Towers, 2054 - I METRO STATION, 12th Main Rd, II AVENUE, Anna Nagar West, Chennai, 600040",,,1,4.0,No,No,No,Government office,,None Found
S Sankar Ganesh,"Ground Floor, 28/143, 4th Cross St, Ragavan Colony, Pari Nagar, Ashok Nagar, Chennai, Tamil Nadu 600083",,094439 07771,67,5.0,No,No,No,Tax collector's office, Opens 10am Sat,None Found
"CGST CHENNAI North Commissionerate,Chennai CGST Zone","26, 1, Uthamar Gandhi Rd, Tirumurthy Nagar, Thousand Lights, Chennai, Tamil Nadu 600006",,,1,5.0,No,No,No,Government office,,None Found
Tax Office ( Audit Firm ),"Plot no 102,VGP Babu Nagar, 3rd Main Rd, Medavakkam, Chennai, Tamil Nadu 600100",taxoffice.net.in,072002 18799,258,4.9,No,No,No,Auditor, Opens 9:30am Sat,None Found
Bright Infosys | GST Training and Certificate Course in Chennai,"Old NO.24A,New No.21, Udithya Complex Aranganathan Subway Road, North Rd, Appavu Nagar, Saidapet, Chennai, Tamil Nadu 600015",brightaccountancy.in,098408 87213,303,4.9,No,No,No,Training center,Open 24 hours,None Found
Commissionarte of Central Excise Audit-1,"35RX+WCR Nehru, Jawaharlal Nehru Salai, Pioneer Colony, Anna Nagar West Extension, Chennai, Tamil Nadu 600101",,,1,4.0,No,No,No,Government office,,None Found
GST office,"273, Periamet, Badri Garden, Park Town, Chennai, Tamil Nadu 600003",,,,,No,No,No,Government office,,None Found
Gst Nilayam,"692, MHU Complex, Behind Periyar Building, Nandanam, Anna Salai, CIT Nagar East, CIT Nagar, Chennai, Tamil Nadu 600035",,,,,No,No,No,Government office, Opens 9am Mon,None Found
mylapore assesment circle (state gst),"26FJ+GV8 Integrated building for Offices of the Commercial taxes and Registration Department, Fanepet, Nandanam, Chennai, Tamil Nadu 600035",,,,,No,No,No,Government office,,None Found
gst consultants,"11a mahalakshmi nagar, Ernavur, Chennai, Tamil Nadu 600057",,,,,No,No,No,Tax preparation service,,None Found
"Gst support center,pallikkaranai","No 3 6th STREET WEST ANNA NAGAR, Narayanapuram, Pallikaranai, Chennai, Tamil Nadu 600100",,,,,No,No,No,Public works department,,None Found
Tax India Solution,"51/45, Chakkarapani Street, Gandhi Nagar, Keelkattalai, Chennai, Tamil Nadu 600117",,098846 16789,35,5.0,No,No,No,Tax consultant, Opens 10am Sat,None Found
DS Accountants,"40, 21st St, Balamurugan Nagar, Sri Ambal Nagar, Keelkattalai, Chennai, Tamil Nadu 600117",,099415 35711,12,5.0,No,No,No,Corporate office, Opens 9am Sat,None Found
GST ATTORNEYS (A Wing of LEXBRAINS),"Survey No.380/10, Shop No.2 First Floor, (Above Archana Bakery Dr.Ambedkar Salai, Pallavaram-Thuraipakkam Rd, S.Kolathur, Kovilambakkam, Chennai, Tamil Nadu 600117",gstattorneys.com,094436 77059,12,5.0,No,No,No,Tax attorney, Opens 10am Sat,None Found
GST ATTORNEYS (A Wing of LEXBRAINS),"Survey No.380/10, Shop No.2 First Floor, (Above Archana Bakery Dr.Ambedkar Salai, Pallavaram-Thuraipakkam Rd, S.Kolathur, Kovilambakkam, Chennai, Tamil Nadu 600117",gstattorneys.com,094436 77059,12,5.0,No,No,No,Tax attorney, Opens 10am Sat,None Found
GST registration,"Bai kadai, 1/168 Venkateswara nagar,kolapakkam, Porur, Chennai, Tamil Nadu 600122",qualitytaxservice.co.in,081224 20986,66,4.6,No,No,No,Registration office, Opens 10am Sat,None Found
KNS GST Consultant,"8th Cross, 3rd Main Rd, S. Kolathur, Engineers Avenue, Chennai, Tamil Nadu 600117",,090256 78438,4,5.0,No,No,No,Tax consultant,,None Found
Gst Office,"40, Ranga Colony Main Rd, Ranga Colony, Sembakkam, Rajakilpakkam, Chennai, Tamil Nadu 600073",,044 2227 2004,6,4.3,No,No,No,Government office,,None Found
Indra Income Tax filing and GST consultants,"plot no, 131, EVR St, Santhosapuram, Vengavasal, Chennai, Tamil Nadu 600073",facebook.com,099620 90954,52,4.9,No,No,No,Consultant, 8pm ,None Found
Indra Income Tax filing and GST consultants,"plot no, 131, EVR St, Santhosapuram, Vengavasal, Chennai, Tamil Nadu 600073",facebook.com,099620 90954,52,4.9,No,No,No,Consultant, 8pm ,None Found
SALES TAX GST CONSULTANCY,"ALFIYA CONSULTANCY 1st FLOOR,NO : 179/55, 600, Grand Northern Trunk Rd, Erukkancheri, Chennai, Tamil Nadu 600118",,098404 18770,3,5.0,No,No,No,Tax department, Closes 9pm,None Found
SALES TAX GST CONSULTANCY,"ALFIYA CONSULTANCY 1st FLOOR,NO : 179/55, 600, Grand Northern Trunk Rd, Erukkancheri, Chennai, Tamil Nadu 600118",,098404 18770,3,5.0,No,No,No,Tax department, Closes 9pm,None Found
Rule Infinity business service,"DGH Building, Vaithialingam road, Old Pallavaram, Chennai, Tamil Nadu 600117",theruleinfinity.com,084381 12110,268,4.9,No,No,No,Accounting firm, Opens 9am Sat,None Found
Office of Commissioner of GST and Central Excise Chennai Outer,"2054-1, 2nd Ave, Anna Nagar, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",,1800 180 1961,21,4.7,No,No,No,Central Government Office,,None Found
Office of Commissioner of GST and Central Excise Chennai Outer,"2054-1, 2nd Ave, Anna Nagar, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",,1800 180 1961,21,4.7,No,No,No,Central Government Office,,None Found
GST Filing - Kalai Associates,"Ground Floor, No.27, Ramasamy St, Dheekshidhar Nagar, Hasthinapuram, Chromepet, Chennai, Tamil Nadu 600064",,099400 95302,11,5.0,No,No,No,Accountant, Opens 9:30am Sat,None Found
GST Filing - Kalai Associates,"Ground Floor, No.27, Ramasamy St, Dheekshidhar Nagar, Hasthinapuram, Chromepet, Chennai, Tamil Nadu 600064",,099400 95302,11,5.0,No,No,No,Accountant, Opens 9:30am Sat,None Found
SRINIVASA ACCOUNTING SOLUTIONS & TAX CONSULTANTS - GST Training Centre,"No.39, 20, Audiappa St, Sowcarpet, George Town, Chennai, Tamil Nadu 600079",savemytax.in,073582 05711,302,4.8,No,No,No,Training center, 8pm ,None Found
Tax Office ( Audit Firm ),"Plot no 102,VGP Babu Nagar, 3rd Main Rd, Medavakkam, Chennai, Tamil Nadu 600100",taxoffice.net.in,072002 18799,258,4.9,No,No,No,Auditor, Opens 9:30am Sat,None Found
Kanakkupillai,"No.13/22, 1st & 2nd Floor, W Karikalan St, Adambakkam, Chennai, Tamil Nadu 600088",kanakkupillai.com,073053 45345,3066,4.8,No,No,No,Accounting firm, Closes 9pm,None Found
Kanakkupillai,"No.13/22, 1st & 2nd Floor, W Karikalan St, Adambakkam, Chennai, Tamil Nadu 600088",kanakkupillai.com,073053 45345,3066,4.8,No,No,No,Accounting firm, Closes 9pm,None Found
"Integrated for Commercial Taxes, State Tax, (GST), Chennai (North) Division","32, Elephant Gate St, Periamet, Railway Colony, Chennai, Tamil Nadu 600003",ctd.tn.gov.in,,3,3.7,No,No,No,Government office, Opens 10am Mon,None Found
Mahadev Associates,"No.10, Bhavani Complex, 2nd Floor, Medavakkam Main Road, Koot Road, Madipakkam, Chennai, Tamil Nadu 600091",mygstindia.net,073959 09179,209,5.0,No,No,No,Auditor, Opens 10am Sat,None Found
Mahadev Associates,"No.10, Bhavani Complex, 2nd Floor, Medavakkam Main Road, Koot Road, Madipakkam, Chennai, Tamil Nadu 600091",mygstindia.net,073959 09179,209,5.0,No,No,No,Auditor, Opens 10am Sat,None Found
MOHAN TAX CONSULTANTS ( Tax Easy Chennai),"above SRI VINAYAAGA MEDICALS, 10, Big St, above SRI VINAAYAGA MEDICALS, Keelkattalai, Chennai, Tamil Nadu 600117",taxeasychennai.in,096001 81164,152,4.9,No,No,No,Auditor, 8pm ,None Found
MOHAN TAX CONSULTANTS ( Tax Easy Chennai),"above SRI VINAYAAGA MEDICALS, 10, Big St, above SRI VINAAYAGA MEDICALS, Keelkattalai, Chennai, Tamil Nadu 600117",taxeasychennai.in,096001 81164,152,4.9,No,No,No,Auditor, 8pm ,None Found
"Integrated Commercial Taxes building, Nandanam","537, Fanepet, Nandanam, Chennai, Tamil Nadu 600035",ctd.tn.gov.in,,23,4.5,No,No,No,Government office, Opens 10am Mon,None Found
GST office,"363X+6PW, Tirumurthy Nagar, T. Nagar, Chennai, Tamil Nadu 600006",,,2,4.5,No,No,No,Government office,,None Found
GST OFFICE IRUNGATTUKOTTAI DIVISION,"48, 2nd Ave, X Block, Tower Park, Anna Nagar, Chennai, Tamil Nadu 600040",,,,,No,No,No,Government office,,None Found
GST Chennai South Preventive,"692, Anna Salai, MHU Complex, Nandanam, Chennai, Tamil Nadu 600015",,,,,No,No,No,Government office, Opens 9am Sat,None Found
GST Bhawan Office of the Principal Chief Commissioner Of GST and Central Excise,"no.26, GST Bhawan, 1, Uthamar Gandhi Rd, Thousand Lights West, Nungambakkam, Chennai, Tamil Nadu 600034",gstchennai.gov.in,044 2833 1010,41,4.2,No,No,No,Central Government Office, Opens 9:15am Mon,None Found
Neon Computer Education keelkattalai,"No.29,Arulmurugan Street, Medavakkam Main Rd, Keelkattalai, Chennai, Tamil Nadu 600117",neonedu.com,098654 44499,59,4.8,No,No,No,Training center, 8pm ,None Found
Neon Computer Education keelkattalai,"No.29,Arulmurugan Street, Medavakkam Main Rd, Keelkattalai, Chennai, Tamil Nadu 600117",neonedu.com,098654 44499,59,4.8,No,No,No,Training center, 8pm ,None Found
GST office bio-metric,"Commercial Tax and Registrar's Office, Ground Floor, Integrated Building, Fanepet, Nandanam, Chennai, Tamil Nadu 600035",,,,,No,No,No,Government office, Opens 10am Mon,None Found
GST Efiling & Consultancy Services LLP,"No. 9/3, Raja complex, 3rd Floor, VK Iyer Road, Mandaveli, Raja Annamalai Puram, Chennai, Tamil Nadu 600028",gstefilingca.com,096001 92192,4,5.0,No,No,No,Tax consultant, Opens 9am Sat,None Found
GST Efiling & Consultancy Services LLP,"No. 9/3, Raja complex, 3rd Floor, VK Iyer Road, Mandaveli, Raja Annamalai Puram, Chennai, Tamil Nadu 600028",gstefilingca.com,096001 92192,4,5.0,No,No,No,Tax consultant, Opens 9am Sat,None Found
Commercial Tax and Registration Department,"26FJ+HW6, Fanepet, Nandanam, Chennai, Tamil Nadu 600035",,,19,4.6,No,No,No,Government office, Opens 10am Mon,None Found
mylapore assesment circle (state gst),"26FJ+GV8 Integrated building for Offices of the Commercial taxes and Registration Department, Fanepet, Nandanam, Chennai, Tamil Nadu 600035",,,,,No,No,No,Government office,,None Found
Commissionarte of Central Excise Audit-1,"35RX+WCR Nehru, Jawaharlal Nehru Salai, Pioneer Colony, Anna Nagar West Extension, Chennai, Tamil Nadu 600101",,,1,4.0,No,No,No,Government office,,None Found
Commissionarte of Central Excise Audit-1,"35RX+WCR Nehru, Jawaharlal Nehru Salai, Pioneer Colony, Anna Nagar West Extension, Chennai, Tamil Nadu 600101",,,1,4.0,No,No,No,Government office,,None Found
BHUVA TAX CONSULTANT,"Upstairs, HDFC ATM, AUDITOR OFFICE, 5/31, Pillaiyar Kovil St, Vengaivasal, Medavakkam, Chennai, Tamil Nadu 600100",,091762 69665,267,4.9,No,No,No,Tax consultant, Opens 10am Sat,None Found
BHUVA TAX CONSULTANT,"Upstairs, HDFC ATM, AUDITOR OFFICE, 5/31, Pillaiyar Kovil St, Vengaivasal, Medavakkam, Chennai, Tamil Nadu 600100",,091762 69665,267,4.9,No,No,No,Tax consultant, Opens 10am Sat,None Found
GST Office - West Chennai,"23WG+H39 Ayurveda College, Chennai, Nazarathpettai, Tamil Nadu 600123",,,1,5.0,No,No,No,Tax collector's office,,None Found
STRATEGIC TAX SOLUTIONS LLP,"No.152/6, Lotus Colony, 6th Ave, N Block, Anna Nagar, Chennai, Tamil Nadu 600102",staxolutions.in,093444 94084,48,4.7,No,No,No,Auditor, Opens 9am Sat,None Found
STRATEGIC TAX SOLUTIONS LLP,"No.152/6, Lotus Colony, 6th Ave, N Block, Anna Nagar, Chennai, Tamil Nadu 600102",staxolutions.in,093444 94084,48,4.7,No,No,No,Auditor, Opens 9am Sat,None Found
K Arun Kumar & Associates,"3rd Floor, 29, Thiruvalluvar Nagar Main Rd, Ambal Nagar, Keelkattalai, Chennai, Tamil Nadu 600117",kakassociates.net,044 7968 4738,15,4.9,No,No,No,Chartered accountant, Opens 9:30am Mon,None Found
K Arun Kumar & Associates,"3rd Floor, 29, Thiruvalluvar Nagar Main Rd, Ambal Nagar, Keelkattalai, Chennai, Tamil Nadu 600117",kakassociates.net,044 7968 4738,15,4.9,No,No,No,Chartered accountant, Opens 9:30am Mon,None Found
"CGST, Chennai South Commissionerate HeadQuarters, Chennai Zone","POOMPUGAR SHIPPING CORPORATION, Mhu Complex, 692, Anna Salai, CIT Nagar East, Nandanam, Chennai, Tamil Nadu 600035",,,2,5.0,No,No,No,Government office, Opens 9:15am Mon,None Found
"CGST, Chennai South Commissionerate HeadQuarters, Chennai Zone","POOMPUGAR SHIPPING CORPORATION, Mhu Complex, 692, Anna Salai, CIT Nagar East, Nandanam, Chennai, Tamil Nadu 600035",,,2,5.0,No,No,No,Government office, Opens 9:15am Mon,None Found
Galax Tax Consultant & Auditor Office – Chromepet Chennai,"Paradiso Flats, F5, 1st Cross St, behind Vettri Theatres, near Kuruthu Medicals, Shastri Colony, Chromepet, Chennai, Tamil Nadu 600044",galaxtax.com,099410 22777,26,5.0,No,No,No,Chartered accountant, Opens 9:30am Sat,None Found
Galax Tax Consultant & Auditor Office – Chromepet Chennai,"Paradiso Flats, F5, 1st Cross St, behind Vettri Theatres, near Kuruthu Medicals, Shastri Colony, Chromepet, Chennai, Tamil Nadu 600044",galaxtax.com,099410 22777,26,5.0,No,No,No,Chartered accountant, Opens 9:30am Sat,None Found
"CGST CHENNAI North Commissionerate,Chennai CGST Zone","26, 1, Uthamar Gandhi Rd, Tirumurthy Nagar, Thousand Lights, Chennai, Tamil Nadu 600006",,,1,5.0,No,No,No,Government office,,None Found
gst consultants,"11a mahalakshmi nagar, Ernavur, Chennai, Tamil Nadu 600057",,,,,No,No,No,Tax preparation service,,None Found
"Prestige Xclusive - Keelkattalai, Chennai","No. 50 - A, Medavakkam Main Rd, near Lenskart, Ranga Nagar, Keelkattalai, Chennai, Tamil Nadu 600117",shop.ttkprestige.com,091500 30601,67,4.2,Yes,No,Yes,Kitchen supply store, 8:30pm ,None Found
"Prestige Xclusive - Keelkattalai, Chennai","No. 50 - A, Medavakkam Main Rd, near Lenskart, Ranga Nagar, Keelkattalai, Chennai, Tamil Nadu 600117",shop.ttkprestige.com,091500 30601,67,4.2,Yes,No,Yes,Kitchen supply store, 8:30pm ,None Found
Office of deputy commissioner of gst and excise,"35QH+4RR, E Mogappair Rd, Thiruvalluvar Nagar, J J Nagar, Mogappair, Chennai, Tamil Nadu 600050",,,,,No,No,No,Central Government Office,,None Found
Office of deputy commissioner of gst and excise,"35QH+4RR, E Mogappair Rd, Thiruvalluvar Nagar, J J Nagar, Mogappair, Chennai, Tamil Nadu 600050",,,,,No,No,No,Central Government Office,,None Found
B PERFECT SERVICES,"23/9, Rajaji St, Radha Nagar, Chromepet, Chennai, Tamil Nadu 600044",bperfectservices.com,099620 01480,406,4.9,No,No,No,Accountant, Opens 9am Sat,None Found
"CGST Ambattur Division,Chennai North Commissionerate,CGST Chennai Zone","A-1, R-40, 100 Feet Road, Thillaiyadi Valliammai Nagar, Thirumangalam, Mogappair East, Mogappair, Mogappair, Chennai, Tamil Nadu 600050",,,1,5.0,No,No,No,Government office,,None Found
"CGST Ambattur Division,Chennai North Commissionerate,CGST Chennai Zone","A-1, R-40, 100 Feet Road, Thillaiyadi Valliammai Nagar, Thirumangalam, Mogappair East, Mogappair, Mogappair, Chennai, Tamil Nadu 600050",,,1,5.0,No,No,No,Government office,,None Found
RENU GST CONSULTANT,"VISAKA FLATS NEW, NO 02, Tharachand Nagar Main Rd, ANNEX, Virugambakkam, Chennai, Tamil Nadu 600092",,096771 25510,2,5.0,No,No,No,Consultant, Opens 10am Sat,None Found
RENU GST CONSULTANT,"VISAKA FLATS NEW, NO 02, Tharachand Nagar Main Rd, ANNEX, Virugambakkam, Chennai, Tamil Nadu 600092",,096771 25510,2,5.0,No,No,No,Consultant, Opens 10am Sat,None Found
ZoneTax India,"No 33, 17, 1st Cross St, Kamaraj Colony, Kodambakkam, Chennai, Tamil Nadu 600024",zonetaxindia.com,099620 05820,90,5.0,No,No,No,Corporate office, 8pm ,None Found
ZoneTax India,"No 33, 17, 1st Cross St, Kamaraj Colony, Kodambakkam, Chennai, Tamil Nadu 600024",zonetaxindia.com,099620 05820,90,5.0,No,No,No,Corporate office, 8pm ,None Found
Commercial Tax Office,"27F3+542, Greenways Rd, RA Puram, Thideer Nagar, Chennai, Tamil Nadu 600028",ctd.tn.gov.in,044 2435 7809,2,3.5,No,No,No,Government office, Opens 10am Mon,None Found
Commercial Tax Office,"27F3+542, Greenways Rd, RA Puram, Thideer Nagar, Chennai, Tamil Nadu 600028",ctd.tn.gov.in,044 2435 7809,2,3.5,No,No,No,Government office, Opens 10am Mon,None Found
deputy commissioner of cgst,"48, 2nd Ave, X Block, Tower Park, Anna Nagar, Chennai, Tamil Nadu 600040",,,,,No,No,No,Government office,,None Found
Tax Guider,"Third Floor, New No599, Old No.230, Konnur High Rd, Ayanavaram, Chennai, Tamil Nadu 600023",taxguider.in,086950 08695,109,4.9,No,No,No,Tax preparation service, Opens 9:30am Sat,None Found
DGPM SRU GST CUSTOMS AND EXCISE,"Old No.617, Bharat Kumar Bhavan, 3RD FLOOR, No.418, Anna Salai, Chennai, Tamil Nadu 600006",,,,,No,No,No,Government office,,None Found
"Ananda Office Centre, Central Excise Department","459, Anna Salai, Anna Nagar, Teynampet, Chennai, Tamil Nadu 600015",,,8,4.5,No,No,No,Government office,,None Found
Tax collection office Thiruvanmiyur,"X7P5+342, South Ave, Kamaraj Nagar, Thiruvanmiyur, Chennai, Tamil Nadu 600041",,,,,No,No,No,Government office,,None Found
Nilgiris Supermarket - Keelkattalai,"Vallakottai Murugan Street, 9, Medavakkam Main Rd, Rajamanickam Nagar, Keelkattalai, Chennai, Tamil Nadu 600117",,044 4357 2222,1167,4.1,No,No,Yes,Supermarket, Closes 10pm,None Found
Central excise office round tanna,"36P7+2WQ, Anna Nagar 3rd Main Rd, X Block, Tower Park, Anna Nagar, Chennai, Tamil Nadu 600040",,,1,4.0,No,No,No,Government office, Opens 10am Mon,None Found
Government Commercial Tax Office,"No 256, Paper Mills Road, Neelam Garden, Kolathur, Chennai, Tamil Nadu 600011",ctd.tn.gov.in,,,,No,No,No,Tax collector's office,,None Found
Sales Tax Office,"2nd floor, M.S. Nagar, Mukta Gardens, Chetpet, Chennai, Tamil Nadu 600031",,,2,3.0,No,No,No,Local government office, Closes 5:45am Sat,None Found
Sales Tax Office,"233/114, Mannadi, George Town, Chennai, Tamil Nadu 600001",,,1,3.0,No,No,No,Tax collector's office,,None Found
LTU Audit,"1, Jawaharlal Nehru Salai, Pioneer Colony, Anna Nagar West Extension, Chennai, Tamil Nadu 600101",,,45,4.5,No,No,No,Government office, Closes 5:45am Sat,None Found
Central Excise Office,"26/1, Mahatma Gandhi Road, Subramaniam Colony, Nungambakkam, Chennai, Tamil Nadu 600041",,,1,4.0,No,No,No,Customs office,,None Found
Expert Point,"Bhuvaneshwari Complex, 2nd Floor New No.4, Old, 19, Dr Thomas Rd, T. Nagar, Chennai, Tamil Nadu 600017",expertpoint.in,095495 49090,71,4.9,No,No,No,Accounting firm, Opens 9am Sat,None Found
Filing Point - Company registration | OPC registration | LLP registration consultants office in Chennai.,"II Floor, Gopi Nivas, New 2, Padmanabhan St, China Raji Thottam, Kodambakkam, Chennai, Tamil Nadu 600024",filingpoint.com,072999 72500,111,4.9,No,No,No,Tax preparation service, Opens 9am Sat,None Found
Chennai North Commissionerate - Head Quarters,"110, Nungambakkam High Rd, Sadras, Thousand Lights, Chennai, Tamil Nadu 600006",,,1,5.0,No,No,No,Government office,,None Found
"Revenue Office, Chennai Corporation, Nanganallur","39, NCBS Colony, Nanganallur, Chennai, Tamil Nadu 600061",,,,,No,No,No,City government office,,None Found
TaxMarket | Consultants | Tax | Audit | Advisory,"1st Floor, Bhagawathi Palace, Plot No 3631, Anna Nagar 3rd Main Rd, J Block, Annanagar East, Chennai, Tamil Nadu 600102",taxmarket.in,097100 07514,26,5.0,No,No,No,Chartered accountant, Opens 9:30am Sat,None Found
GST SUVIDHA SEWA KENDRAN OFFICE,"NO 6, N Red Hills Rd, Barathy Nagar, Valluvar Nagar, Kolathur, Chennai, Tamil Nadu 600099",,,,,No,No,No,Tax collector's office,,None Found
Commercial Tax Office Porur,"24GX+3PF, MS Nagar, Porur, Chennai, Tamil Nadu 600125",,,,,No,No,No,Government office,,None Found
Maruti Suzuki Service (Popular Vehicles and Services),"Old No 155 New No 123, Popular Vehicles & Services Ltd, Ponranjitham Complex, Medavakkam Main Rd, Rajamanickam Nagar, Keelkattalai, Chennai, Tamil Nadu 600117",arenaofannanagar.com,08071 648 243,1533,4.0,No,No,No,Auto repair shop, 8pm ,None Found
DGGI Chennai Zonal Unit,"Income Tax Office Bsnl, 16, Greams Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600006",,,4,3.3,No,No,No,Government office,,None Found
"Appar Natarajan - Income Tax Filling Consultant , GST Return Filling in Tambaram, Chennai, Chengalpattu","12, Bajanai Kovil Street, Kulam Busstop, Mudichur Rd, West Tambaram, Chennai, Tamil Nadu 600045",,099441 63243,,,No,No,No,Tax consultant, Opens 9am Sat,None Found
RS Tax Consultants,"39 KAMATCHI, Kamakshi Amman St, near KAMATCHI AMMAN KOVIL, Srinivasa Nagar, Mangadu, Chennai, Tamil Nadu 600122",rstaxconsultants.in,090928 94642,20,5.0,No,No,No,Tax consultant, 8pm ,None Found
Commercial Taxes Department,"4TH FLOOR, Ezhilagam, EZHILAGAM, PWD Estate, Chepauk, Triplicane, Chennai, Tamil Nadu 600005",ctd.tn.gov.in,,1,1.0,No,No,No,Government office,,None Found
Raghul Tax and Financial Consultant,"99b, RADHAKRISHNAN STREET CORNER LALBAHADHUR SASTHIRI STREET Sathyamurthy Block, West Jafferkhanpet,Chennai, Tamil Nadu 600089, JAFFERKHANPET, Tamil Nadu 600083",,090803 54954,54,4.9,No,No,No,Auditor, Closes 10pm,None Found
Raghul Tax and Financial Consultant,"99b, RADHAKRISHNAN STREET CORNER LALBAHADHUR SASTHIRI STREET Sathyamurthy Block, West Jafferkhanpet,Chennai, Tamil Nadu 600089, JAFFERKHANPET, Tamil Nadu 600083",,090803 54954,54,4.9,No,No,No,Auditor, Closes 10pm,None Found
Phoenix Tax Consultant,"10A, 2nd Floor, Rajendra Building, Duraisamy Pillai Street, West Tambaram, Tambaram, Chennai, Tamil Nadu 600045",phoenixtax.in,099412 69019,106,4.6,No,No,No,Tax consultant, Opens 9:30am Sat,None Found
Phoenix Tax Consultant,"10A, 2nd Floor, Rajendra Building, Duraisamy Pillai Street, West Tambaram, Tambaram, Chennai, Tamil Nadu 600045",phoenixtax.in,099412 69019,106,4.6,No,No,No,Tax consultant, Opens 9:30am Sat,None Found
Gst Transport,"No 155, Medavakkam Main Rd, Senthuran Colony, Puzhuthivakkam, Madipakkam, Chennai, Tamil Nadu 600091",,,,,No,No,No,,,None Found
G and Son Income tax and GST consultant,"145, 2nd Main St, Kamaraj Nagar, Perungudi, Chennai, Tamil Nadu 600096",,096001 65182,108,5.0,No,No,No,Tax consultant,,None Found
Quality tax services,"1/168, Venkateshwara Nagar, New Colony, Kolapakkam, Chennai, Tamil Nadu 600122",qualitytaxservice.in,086808 36112,93,4.6,No,No,No,Auditor, Opens 10am Sat,None Found
Tax collection office Thiruvanmiyur,"X7P5+342, South Ave, Kamaraj Nagar, Thiruvanmiyur, Chennai, Tamil Nadu 600041",,,,,No,No,No,Government office,,None Found
GST Practitioner Tax Consultant,"2/1379 A, 5th Main Rd, K.V Nagar, Narayana Nagar, Vettuvankeni, Chennai, Tamil Nadu 600115",,,,,No,No,No,Tax preparation service,,None Found
"Central GST SEVA KENDRA, CHENNAI SOUTH COMMISSIONERATE","Mhu Complex, Behind Periyar Building, Nandanam, 692, Anna Salai, CIT Nagar East, CIT Nagar, Chennai, Tamil Nadu 600035",,044 2433 1177,32,4.6,No,No,No,Central Government Office, Opens 9:15am Mon,None Found
GST registration,"Bai kadai, 1/168 Venkateswara nagar,kolapakkam, Porur, Chennai, Tamil Nadu 600122",qualitytaxservice.co.in,081224 20986,66,4.6,No,No,No,Registration office, Opens 10am Sat,None Found
Gst Seva Kendra,"Newry Towers, 12th Main Rd, Anna Nagar, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",,,28,4.2,No,No,No,Central Government Office, Opens 9:15am Mon,None Found
Guru Easy Tax Solutions,"1/218B, Vivekananda St, Sangam Colony, Kottivakkam, Chennai, Tamil Nadu 600041",,093607 64619,,,No,No,No,Tax consultant,,None Found
"OFFICE OF THE JOINT COMMISSIONER,STATE TAX (GST), CHENNAI NORTH DIVISION.","32, Elephant Gate St, Periamet, Vepery, George Town, Chennai, Tamil Nadu 600003",,,10,4.6,No,No,No,Government office, Opens 10am Mon,None Found
